breeder_pair,litter_date,litter_size
118,3/8/2020,7
118,4/2/2020,9
118,5/13/2020,7
118,6/3/2020,4
118,7/17/2020,3
118,8/30/2020,4
119,2/15/2021,5
119,3/11/2021,8
119,4/5/2021,6
119,4/30/2021,4
119,5/23/2021,6
119,6/18/2021,4
119,7/10/2021,5
119,8/3/2021,1
119,8/26/2021,4
120,2/8/2023,8
120,3/20/2023,7
120,4/26/2023,5
120,5/19/2023,0
120,6/23/2023,7
120,7/17/2023,0
121,2/29/2020,5
121,3/23/2020,8
121,4/21/2020,4
121,5/29/2020,6
121,6/24/2020,4
121,7/16/2020,0
122,3/31/2021,6
122,4/25/2021,3
122,6/7/2021,5
122,6/27/2021,2
122,8/8/2021,3
122,8/30/2021,0
124,4/9/2020,7
124,5/2/2020,8
125,4/24/2020,9
125,5/17/2020,8
126,9/14/2020,5
126,10/11/2020,4
126,11/5/2020,1
127,7/3/2020,0
127,7/23/2020,6
127,8/13/2020,4
127,9/24/2020,4
127,10/15/2020,4
128,10/23/2020,0
128,11/14/2020,7
128,12/8/2020,5
129,10/20/2020,7
129,12/1/2020,2
129,12/22/2020,0
130,1/10/2020,0
131,9/11/2020,8
131,10/5/2020,5
131,11/17/2020,3
131,1/23/2021,5
131,2/15/2021,2
132,10/1/2021,5
132,10/24/2021,8
132,11/18/2021,5
132,12/11/2021,0
132,1/3/2022,5
132,1/25/2022,4
132,2/21/2022,0
133,9/24/2020,0
133,11/10/2020,4
133,12/2/2020,8
133,12/23/2020,5
134,1/15/2021,0
134,2/5/2021,7
134,4/12/2021,0
135,5/10/2021,2
135,5/13/2021,5
136,6/7/2021,3
137,1/14/2020,3
137,2/29/2020,7
138,9/23/2020,6
138,10/19/2020,5
138,11/11/2020,4
138,12/5/2020,3
139,10/1/2021,4
139,10/24/2021,6
139,11/15/2021,4
139,12/8/2021,2
139,12/30/2021,2
139,1/21/2022,3
139,2/13/2022,3
139,3/6/2022,4
140,4/1/2022,0
140,4/27/2022,9
140,6/6/2022,7
140,6/29/2022,4
141,3/6/2022,5
141,4/15/2022,8
141,5/25/2022,7
141,7/21/2022,4
141,8/12/2022,3
141,9/25/2022,0
144,9/21/2021,8
144,10/19/2021,7
145,10/6/2022,4
146,9/21/2022,4
146,10/11/2022,9
146,11/22/2022,9
146,12/14/2022,0
146,1/5/2023,6
146,1/27/2023,0
147,1/2/2020,7
147,1/26/2020,4
147,2/16/2020,6
147,3/11/2020,5
147,4/2/2020,8
147,4/25/2020,5
147,5/17/2020,8
147,6/10/2020,9
147,7/2/2020,6
148,8/18/2021,4
148,9/9/2021,10
148,10/22/2021,8
148,11/14/2021,4
148,12/7/2021,4
148,12/30/2021,9
149,8/10/2023,5
149,9/24/2023,10
149,10/18/2023,6
150,1/19/2020,4
150,3/3/2020,7
150,3/25/2020,0
150,4/20/2020,1
150,6/3/2020,2
150,7/7/2020,0
151,10/1/2021,5
151,11/21/2021,3
151,1/9/2022,4
152,8/10/2023,9
152,9/7/2023,6
152,10/2/2023,8
152,10/25/2023,5
152,11/18/2023,7
152,12/12/2023,6
153,7/16/2020,8
153,8/8/2020,5
153,8/29/2020,8
153,9/20/2020,10
153,10/15/2020,0
153,11/18/2020,6
153,8/20/2021,3
154,1/12/2022,6
154,2/2/2022,4
154,2/25/2022,6
154,3/19/2022,0
154,4/9/2022,9
154,5/3/2022,0
154,6/18/2022,4
154,7/12/2022,1
155,5/7/2023,5
155,5/26/2023,3
155,7/18/2023,9
157,8/11/2020,9
157,8/30/2020,8
157,10/10/2020,0
157,11/7/2020,4
157,11/30/2020,0
157,12/20/2020,3
159,1/12/2022,8
159,2/4/2022,8
159,3/1/2022,6
159,3/23/2022,7
159,4/14/2022,0
159,5/5/2022,8
159,5/29/2022,4
159,6/20/2022,0
159,7/9/2022,6
160,1/15/2021,4
160,2/5/2021,0
160,3/12/2021,8
160,4/22/2021,7
160,5/20/2021,2
160,6/12/2021,6
161,7/17/2022,2
161,8/8/2022,8
161,8/31/2022,5
161,9/22/2022,4
161,10/17/2022,0
161,11/5/2022,8
161,11/29/2022,4
161,1/10/2023,0
162,1/18/2021,0
162,2/7/2021,5
162,2/28/2021,0
162,5/8/2021,3
163,7/28/2022,8
163,8/22/2022,6
163,9/15/2022,6
163,10/27/2022,0
163,12/7/2022,0
163,12/28/2022,1
164,6/16/2021,0
164,7/6/2021,4
164,7/30/2021,3
164,8/21/2021,7
165,1/27/2023,5
165,2/19/2023,5
165,3/14/2023,8
165,4/8/2023,1
165,5/2/2023,2
165,6/13/2023,5
165,7/4/2023,0
166,1/26/2023,5
166,2/20/2023,9
166,3/17/2023,8
166,4/10/2023,5
166,5/3/2023,4
167,2/27/2020,6
167,3/10/2020,6
167,3/30/2020,12
167,4/20/2020,10
168,12/23/2020,3
168,1/11/2021,10
169,4/11/2021,3
169,5/24/2021,9
170,3/29/2021,9
170,4/19/2021,11
171,3/29/2021,6
171,4/25/2021,12
172,6/4/2021,13
172,7/25/2021,17
173,6/4/2021,7
173,6/24/2021,10
173,7/15/2021,3
173,8/3/2021,5
173,8/24/2021,5
174,3/19/2020,7
174,5/21/2020,17
174,7/3/2020,6
174,8/15/2020,6
175,3/29/2021,11
175,4/17/2021,11
175,5/6/2021,8
175,6/26/2021,5
175,7/16/2021,5
178,11/24/2020,3
179,4/18/2021,13
179,6/10/2021,16
179,7/1/2021,11
179,7/23/2021,10
180,12/23/2020,7
180,2/1/2021,4
183,3/3/2020,9
183,4/27/2020,7
183,7/2/2020,8
184,2/7/2020,6
184,2/27/2020,5
184,3/21/2020,8
184,4/10/2020,10
184,5/3/2020,0
184,5/24/2020,7
184,7/4/2020,10
185,1/30/2020,7
185,3/17/2020,8
186,10/3/2021,0
186,10/26/2021,5
186,11/18/2021,5
186,12/11/2021,6
186,1/2/2022,8
187,5/17/2023,6
187,6/10/2023,6
187,7/4/2023,0
187,8/2/2023,10
188,8/27/2023,8
188,10/13/2023,5
188,12/12/2023,8
